epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,867.016,0.45315,0.52981,0.36278,0.85122,0,0.98298,1,0.99016,0.93807,0.98298,1,0.99016,0.90983,0.36762,0.42041,0.32456,0.79216,0,0.0014258,0.0014258,0.0014258
31,896.234,0.45494,0.58095,0.37015,0.86107,0,0.98343,1,0.98563,0.91957,0.98343,1,0.98563,0.93149,0.38249,0.389,0.32335,0.79551,0,0.001406,0.001406,0.001406
32,925.944,0.44575,0.54394,0.35614,0.84727,0,0.98028,1,0.98781,0.91348,0.98028,1,0.98781,0.91636,0.40209,0.40684,0.33962,0.79609,0,0.0013862,0.0013862,0.0013862
33,954.575,0.45712,0.68165,0.36828,0.86412,0,0.98082,1,0.98594,0.91633,0.98082,1,0.98594,0.90969,0.41086,0.43027,0.33636,0.79783,0,0.0013664,0.0013664,0.0013664
34,983.273,0.44375,0.5358,0.35116,0.85209,0,0.9832,1,0.98172,0.92655,0.9832,1,0.98172,0.90702,0.35686,0.40224,0.33209,0.79496,0,0.0013466,0.0013466,0.0013466
35,1010.72,0.43214,0.54998,0.35312,0.84824,0,0.98063,1,0.98344,0.91155,0.98063,1,0.98344,0.91162,0.38054,0.40347,0.33834,0.79397,0,0.0013268,0.0013268,0.0013268
36,1038.87,0.42591,0.54489,0.34287,0.85071,0,0.98337,1,0.98219,0.93093,0.98337,1,0.98219,0.91328,0.33855,0.38561,0.30311,0.7852,0,0.001307,0.001307,0.001307
37,1067.14,0.43823,0.5722,0.34247,0.8588,0,0.96909,1,0.98172,0.92334,0.96909,1,0.98172,0.92357,0.39348,0.42007,0.35102,0.78493,0,0.0012872,0.0012872,0.0012872
38,1094.75,0.42792,0.56061,0.34125,0.85364,0,0.96889,1,0.9825,0.93015,0.96889,1,0.9825,0.93063,0.32913,0.39024,0.31628,0.78766,0,0.0012674,0.0012674,0.0012674
39,1123.41,0.41712,0.52314,0.32616,0.85107,0,0.98348,1,0.98719,0.93109,0.98348,1,0.98719,0.94494,0.3327,0.40841,0.29148,0.78837,0,0.0012476,0.0012476,0.0012476
40,1152,0.41032,0.51177,0.32703,0.84228,0,0.98237,1,0.98172,0.93338,0.98237,1,0.98172,0.91781,0.34294,0.38116,0.32599,0.78881,0,0.0012278,0.0012278,0.0012278
41,1179.29,0.42939,0.53943,0.34458,0.86084,0,0.98328,1,0.98438,0.9111,0.98328,1,0.98438,0.91881,0.38108,0.42235,0.31994,0.78851,0,0.001208,0.001208,0.001208
42,1208.21,0.43992,0.59586,0.34984,0.8602,0,0.9832,1,0.9825,0.92841,0.9832,1,0.9825,0.91193,0.3703,0.40976,0.31337,0.78446,0,0.0011882,0.0011882,0.0011882
43,1237.26,0.42779,0.50505,0.34036,0.85382,0,0.98346,1,0.98063,0.92794,0.98346,1,0.98063,0.91073,0.33515,0.38189,0.30946,0.77809,0,0.0011684,0.0011684,0.0011684
44,1265.74,0.41398,0.55637,0.3289,0.84623,0,0.98349,1,0.98484,0.93074,0.98349,1,0.98484,0.92142,0.33179,0.4016,0.29172,0.78841,0,0.0011486,0.0011486,0.0011486
45,1293.72,0.4031,0.53875,0.31736,0.85232,0,0.98287,1,0.98516,0.94398,0.98287,1,0.98516,0.91187,0.32661,0.37945,0.30069,0.7867,0,0.0011288,0.0011288,0.0011288
46,1322.93,0.39787,0.52281,0.32795,0.85915,0,0.98306,1,0.98188,0.94037,0.98306,1,0.98188,0.91806,0.3179,0.38618,0.30565,0.78134,0,0.001109,0.001109,0.001109
47,1351.76,0.39393,0.53094,0.32869,0.84679,0,0.98284,1,0.98859,0.92403,0.98284,1,0.98859,0.91672,0.37233,0.39103,0.30105,0.78434,0,0.0010892,0.0010892,0.0010892
48,1380.9,0.41171,0.48838,0.31952,0.85202,0,0.98118,1,0.98047,0.92544,0.98118,1,0.98047,0.91885,0.35654,0.36634,0.30103,0.79516,0,0.0010694,0.0010694,0.0010694
49,1409.39,0.39909,0.53823,0.31843,0.84345,0,0.9824,1,0.98047,0.93992,0.9824,1,0.98047,0.9172,0.30783,0.37146,0.29531,0.77895,0,0.0010496,0.0010496,0.0010496
50,1436.96,0.39731,0.50406,0.31672,0.84139,0,0.98288,1,0.98172,0.93929,0.98288,1,0.98172,0.92146,0.31591,0.38266,0.29498,0.7827,0,0.0010298,0.0010298,0.0010298
51,1465.03,0.38109,0.49316,0.32589,0.82321,0,0.98309,1,0.98734,0.93306,0.98309,1,0.98734,0.92795,0.32578,0.36908,0.28928,0.78162,0,0.00101,0.00101,0.00101
